City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Yumen,CN,56,1619799291,9,40.2833,97.2,68.49,9.8
Crotone,IT,0,1619799293,64,39.0851,17.1178,71.6,5.75
Ambilobe,MG,50,1619799294,88,-13.2,49.05,76.48,2.15
Tegul'det,RU,40,1619799296,83,57.3064,88.1667,41.23,7.96
Ostrovnoy,RU,100,1619799297,81,68.0531,39.5131,27.88,15.39
Gubkinskiy,RU,100,1619799299,98,64.434,76.5026,32.43,18.19
Comodoro Rivadavia,AR,0,1619799300,40,-45.8667,-67.5,68,13.8
Boone,US,0,1619799143,41,39.0334,-92.3335,72,6.22
Mandera,KE,77,1619799306,46,3.9366,41.867,89.56,5.28
Dali,CN,81,1619799308,60,25.7,100.1833,61.63,3.06
Kenai,US,90,1619799309,86,60.5544,-151.2583,35.6,6.91
Port Lincoln,AU,100,1619799311,39,-34.7333,135.8667,66.6,8.93
Khovd,MN,100,1619799313,26,48.0056,91.6419,63.23,10.74
Emerald,AU,9,1619799314,94,-23.5333,148.1667,62.6,5.75
Zelenoborsk,RU,100,1619799316,92,61.4669,64.0333,31.82,4.18
Córdoba,AR,0,1619799318,46,-31.4135,-64.1811,75,16.11
Airai,TL,100,1619799319,88,-8.9266,125.4092,58.17,2.48
Cascavel,BR,0,1619799092,49,-24.9558,-53.4553,78.01,20.71
Marsá Maţrūḩ,EG,0,1619799322,39,31.3525,27.2453,80.6,10.36
Palu,ID,97,1619799324,95,-0.8917,119.8707,75.56,2.8
Dubai,AE,0,1619799048,48,25.2582,55.3047,86,9.22
Makakilo City,US,1,1619799326,78,21.3469,-158.0858,73.4,4.61
Diego de Almagro,CL,58,1619799328,29,-26.3667,-70.05,71.44,7.29
Pingliang,CN,0,1619799330,35,35.5392,106.6861,59.38,4.12
Leningradskiy,RU,90,1619799331,93,69.3833,178.4167,12.9,15.39
Panabá,MX,14,1619799333,39,21.2833,-88.2667,91.09,12.46
Sterling,US,20,1619799142,30,39.0062,-77.4286,69.8,24.16
Inongo,CD,97,1619799336,84,-1.95,18.2667,76.19,6.87
Nhulunbuy,AU,65,1619799338,88,-12.2333,136.7667,75.2,5.75
Utiel,ES,66,1619799339,84,39.5667,-1.2,71.01,8.72
Ketchikan,US,90,1619799341,93,55.3422,-131.6461,44.6,8.05
Udachny,RU,100,1619799342,99,66.4167,112.4,28.42,3.09
Luanshya,ZM,99,1619799344,66,-13.1367,28.4166,71.94,4
Mahajanga,MG,20,1619799345,89,-15.7167,46.3167,82.4,4.61
Alofi,NU,100,1619799347,100,-19.0595,-169.9187,71.6,1.14
Samarai,PG,53,1619799348,78,-10.6167,150.6667,79.48,8.16
San Carlos del Zulia,VE,95,1619799350,70,9,-71.9135,83.01,4.63
Montes Claros,BR,40,1619799352,50,-16.735,-43.8617,78.8,12.66
El Alto,PE,0,1619799354,61,-4.2714,-81.2147,82.4,13.8
Beausejour,CA,92,1619799355,29,50.0622,-96.5167,48,6.91
Kamenka,RU,100,1619799357,80,51.3223,42.7678,49.68,13.22
Muli,MV,8,1619799358,68,2.9167,73.5667,84.11,2.48
Davila,PH,40,1619799360,88,18.4726,120.5763,77,1.14
Kununurra,AU,0,1619799268,82,-15.7667,128.7333,66.2,4.99
Aitape,PG,75,1619799363,88,-3.1374,142.3475,78.03,5.41
Turukhansk,RU,100,1619799365,78,65.8167,87.9833,36.88,15.61
Fare,PF,97,1619799366,72,-16.7,-151.0167,80.37,6.44
Grand Falls,CA,90,1619799368,81,47.0461,-67.7418,44.6,6.91
Gwadar,PK,86,1619799369,65,25.1216,62.3254,85.05,21.25
Abay,KZ,0,1619799371,36,49.6311,72.8539,46.4,8.95
Bakchar,RU,9,1619799373,81,57.0186,82.0711,40.01,5.46
Morón,AR,0,1619799342,57,-34.6534,-58.6198,72,5.99
Hanyang,CN,26,1619799376,62,32.1371,105.5126,63.77,3.06
West Melbourne,US,75,1619799337,54,28.0717,-80.6534,84.99,13.8
Rumuruti,KE,91,1619799378,55,0.267,36.5389,68.77,10.11
Vega de Alatorre,MX,94,1619799380,67,20.0333,-96.6333,84.97,9.8
Yangi Marg`ilon,UZ,82,1619799381,27,40.4272,71.7189,75.2,18.41
Bandarbeyla,SO,29,1619799383,73,9.4942,50.8122,84.7,10.11
Buraidah,SA,0,1619799304,18,26.326,43.975,93.2,10.36
Klin,RU,0,1619799386,55,56.3333,36.7333,59,15.66
Twin Falls,US,1,1619799388,30,42.3505,-114.6445,70,4.61
Babu,CN,70,1619799389,62,24.4167,111.5167,70.75,1.25
Envira,BR,69,1619799391,58,-7.3,-70.2167,81.3,4.38
Wenling,CN,45,1619799392,88,28.3669,121.36,63.68,8.97
Evensk,RU,19,1619799394,79,61.95,159.2333,23.45,10.25
Iqaluit,CA,75,1619799395,75,63.7506,-68.5145,35.6,12.66
Hinesburg,US,90,1619799397,71,44.3292,-73.1107,53.6,9.22
Djibouti,DJ,100,1619799398,61,11.5,42.5,78.13,5.66
Ixtapa,MX,40,1619799209,74,20.7,-105.2,80.6,4.61
Cabedelo,BR,75,1619799401,94,-6.9811,-34.8339,82.4,13.8
Lufilufi,WS,20,1619799403,94,-13.8745,-171.5986,75.2,10.78
Sabha,LY,0,1619799405,4,27.0377,14.4283,101.05,16.22
Panguipulli,CL,90,1619799193,82,-39.6333,-72.3333,59,3.44
Inverell,AU,22,1619799408,93,-29.7833,151.1167,57.99,1.01
Chipinge,ZW,65,1619799410,69,-20.1883,32.6236,67.78,1.7
Saquarema,BR,20,1619799254,69,-22.92,-42.5103,77,10.36
Morden,CA,100,1619799316,27,49.1919,-98.1014,48.2,12.66
Boké,GN,96,1619799414,26,10.9409,-14.2967,96.89,2.86
Rome,US,90,1619799123,81,43.2128,-75.4557,46.4,19.57
Sept-Îles,CA,90,1619799336,71,50.2001,-66.3821,46.4,18.41
Souillac,MU,40,1619799418,78,-20.5167,57.5167,78.8,12.66
Maunabo,PR,13,1619799420,77,18.0072,-65.8993,84,10
Ubari,LY,0,1619799421,4,26.5921,12.7805,101.46,16.13
Sabang,ID,100,1619799423,69,5.8933,95.3214,83.43,3
Honiara,SB,80,1619799314,83,-9.4333,159.95,76.17,4.85
Petatlán,MX,1,1619799426,54,17.5167,-101.2667,86,5.46
Fairhope,US,40,1619799427,73,30.523,-87.9033,82,3.44
Coari,BR,72,1619799429,67,-4.085,-63.1414,84.76,3.22
Shahreza,IR,35,1619799192,20,32.0339,51.8794,72.27,4.74
Maltahöhe,NA,0,1619799432,24,-24.8333,16.9833,66.74,10.78
Verkhnevilyuysk,RU,100,1619799434,97,63.4453,120.3167,30.02,4.45
Sorong,ID,96,1619799435,83,-0.8833,131.25,79.12,2.75
Wanaka,NZ,87,1619799437,87,-44.7,169.15,45.82,0.85
São Joaquim,BR,0,1619799438,31,-28.2939,-49.9317,66.11,4.29
Orós,BR,100,1619799440,36,-6.2444,-38.9136,90.82,7
Tual,ID,42,1619799442,75,-5.6667,132.75,82.63,11.48
Stokmarknes,NO,75,1619799443,93,68.5646,14.9108,33.8,1.14
Vallenar,CL,31,1619799445,41,-28.5708,-70.7581,70.48,4.43
Kasempa,ZM,100,1619799447,87,-13.4584,25.8338,66.87,1.9
Anadyr,RU,75,1619799448,86,64.75,177.4833,17.6,8.95
Hualmay,PE,3,1619799450,73,-11.0964,-77.6139,71.2,9.31
Bariloche,AR,40,1619799451,58,-41.1456,-71.3082,60.01,6.91
Esim,GH,76,1619799453,63,4.8699,-2.2405,85.93,10.13
Monchegorsk,RU,72,1619799454,70,67.9397,32.8739,26.11,9.13
Biltine,TD,1,1619799456,6,14.5333,20.9167,102.2,9.69
Mandalgovi,MN,54,1619799457,52,45.7625,106.2708,39.42,5.3
Podgornoye,RU,0,1619799459,24,51.735,39.1496,64.4,8.95
Mount Isa,AU,0,1619799186,37,-20.7333,139.5,69.8,11.1
Ixmiquilpan,MX,38,1619799260,58,20.4833,-99.2333,71.6,3.67
Rulenge,TZ,100,1619799463,92,-2.7175,30.6325,65.39,1.92
Berlevåg,NO,75,1619799465,80,70.8578,29.0864,28.4,24.16
Sri Aman,MY,100,1619799466,100,1.2376,111.4621,75.2,3.44
Hashtgerd,IR,75,1619799468,20,35.9642,50.6858,73.4,2.59
Teahupoo,PF,75,1619799469,88,-17.8333,-149.2667,77,12.66
Cumana,VE,89,1619799471,73,10.4635,-64.1775,79.54,9.08
Biak,ID,71,1619799472,80,-0.9131,122.8766,76.89,1.52
Port Shepstone,ZA,100,1619799437,79,-30.7414,30.455,64.04,20.4
Santa Marinella,IT,80,1619799475,77,42.0345,11.8536,66.99,3
Maku,IR,53,1619799477,43,39.2911,44.4521,65.25,4.27
Andros Town,BS,20,1619799479,54,24.7,-77.7667,84.2,10.36
Bafia,CM,79,1619799480,55,4.75,11.2333,84.6,1.12
San Miguel de Cozumel,MX,40,1619799235,62,20.5083,-86.9458,87.01,12.66
Miraflores,MX,1,1619799483,52,19.2167,-98.8083,69.8,6.91
Brae,GB,75,1619799485,81,60.3964,-1.353,42.8,11.5
Taoudenni,ML,97,1619799486,24,22.6783,-3.9836,93.02,12.86
Mitchell,US,1,1619799488,31,43.7094,-98.0298,60.8,11.5
Tarakan,ID,20,1619799489,83,3.3,117.6333,82.4,3.44
Chapais,CA,1,1619799491,38,49.7834,-74.8492,59,8.05
Balta,UA,81,1619799493,68,47.9355,29.6198,65.59,8.59
Narsaq,GL,20,1619799495,25,60.9167,-46.05,59,20.71
Isangel,VU,76,1619799496,77,-19.55,169.2667,76.57,14.97
Vostok,RU,2,1619799498,82,46.4856,135.8833,33.85,2.44
Yakeshi,CN,93,1619799499,79,49.2833,120.7333,36.03,1.61
Coahuayana Viejo,MX,1,1619799501,83,18.7333,-103.6833,69.8,4.61
Nishihara,JP,75,1619799502,78,26.1842,127.7558,71.6,6.91
Pamanukan,ID,77,1619799504,85,-6.2842,107.8106,78.71,5.17
Kolyvan',RU,0,1619799505,43,55.3053,82.7391,50,6.71
Province of Mantua,IT,97,1619799507,75,45.1667,10.7833,72,7
Kerrobert,CA,75,1619799508,34,51.9168,-109.1348,66.2,16.11
Luau,AO,93,1619799510,83,-10.7073,22.2247,71.37,0.45
Camacha,PT,20,1619799513,52,33.0833,-16.3333,66.2,16.11
Dalbandin,PK,89,1619799515,27,28.8947,64.4101,82.71,18.7
Tahara,JP,40,1619799517,77,34.6667,137.2667,61,9.22
Eyl,SO,76,1619799518,69,7.9803,49.8164,84.79,10.25
Gizo Government Station,SB,44,1619799520,74,-8.103,156.8419,81.28,4.63
Pombas,CV,20,1619799522,57,17.1503,-25.0201,78.8,20.71
Gigante,CO,100,1619799523,97,2.3868,-75.5453,66.51,2.57
Calafell,ES,21,1619799525,79,41.2,1.5683,66,5.99
Port Keats,AU,2,1619799526,79,-14.25,129.55,76.39,2.98
Tsimmerbude,RU,75,1619799528,87,54.675,20.1347,44.6,13.42
Marrakesh,MA,75,1619799301,55,31.6315,-8.0083,62.6,11.5
Hoquiam,US,90,1619799531,94,46.9809,-123.8893,53.6,12.66
Wuda,CN,52,1619799532,24,39.4994,106.7117,58.53,6.38
Kearney,US,1,1619799534,33,40.6995,-99.0815,75.2,14.97
Kapit,MY,100,1619799536,98,2.0167,112.9333,74.19,0.16
Arrondissement de Saint-Gaudens,FR,90,1619799538,93,43.0833,0.6667,54,6.91
Sørland,NO,40,1619799539,60,67.667,12.6934,37.4,16.11
Sakakah,SA,0,1619799541,10,29.9697,40.2064,93.2,4.61
Ozernovskiy,RU,65,1619799543,85,51.5,156.5167,36.23,6.24
Abalak,RU,65,1619799544,44,58.1286,68.5944,41,10.27
Luleå,SE,0,1619799546,35,65.5842,22.1547,37.4,16.11
Broadford,AU,0,1619799547,66,-37.2,145.0667,51.8,11.5
De Aar,ZA,98,1619799549,58,-30.6497,24.0123,55.26,15.75
Troy,US,75,1619799495,57,42.6056,-83.1499,52,19.57
Klaksvík,FO,75,1619799552,60,62.2266,-6.589,39.2,9.22
Buriti dos Lopes,BR,40,1619799553,58,-3.175,-41.8669,91.4,6.91
Wattegama,LK,75,1619799555,100,6.7989,81.4808,78.8,2.3
Brigantine,US,75,1619799556,39,39.4101,-74.3646,68,29.93
Smithers,CA,90,1619799559,76,54.7804,-127.1743,44.6,3.74
Saint-François,FR,75,1619799560,58,46.4154,3.9054,55.4,8.05
Kieta,PG,68,1619799562,81,-6.2167,155.6333,78.22,1.54
Mongu,ZM,96,1619799563,73,-15.2484,23.1274,71.49,8.97
Tambo,PE,6,1619799565,37,-14.8,-73.9167,47.23,3.24
Krasnosel'kup,RU,100,1619799566,98,65.7,82.4667,34.47,14.63
Volodarka,UA,100,1619799568,79,49.5248,29.9122,61.18,6.62
San Cristobal,VE,40,1619799570,58,7.7669,-72.225,84.2,2.3
Tallahassee,US,90,1619799475,73,30.4383,-84.2807,80.01,4.61
Santa Barbara,US,1,1619799509,71,34.7333,-120.0343,73,2.06
Kichera,RU,37,1619799576,74,55.9375,110.0997,30.29,1.7
High Level,CA,75,1619799577,100,58.5169,-117.136,41,3.44
La Baule-Escoublac,FR,0,1619799426,33,47.2922,-2.364,60.8,9.22
Levin,NZ,83,1619799580,70,-40.6333,175.275,54,5.01
Buşayrā,JO,0,1619799582,15,30.7376,35.6078,79.36,10.18
Sheltozero,RU,99,1619799583,63,61.3667,35.3667,37.83,3.74
Jānsath,IN,56,1619799585,24,29.3333,77.85,87.28,8.34
Orlik,RU,100,1619799586,96,52.5178,99.825,36.57,3.06
Río Gallegos,AR,40,1619799588,87,-51.6226,-69.2181,44.6,9.22
Dakar,SN,0,1619799590,73,14.6937,-17.4441,73.4,18.41
